Currency,Type,p,d,q,AIC,BIC,Train_MAE,Train_MSE,Train_RMSE,Train_R2,Val_MAE,Val_MSE,Val_RMSE,Val_R2,Test_MAE,Test_MSE,Test_RMSE,Test_R2
USD_CNY,close,1,0,1,-4772.974736225393,-4753.561539852649,0.012994518043822963,0.0004753270231410204,0.0218019958522384,0.9954975320922829,0.09079633771400757,0.017806197125530842,0.1334398633300066,0.2641014498638885,0.08878947820242492,0.01050767003034548,0.10250692674324735,-3.4062106438724467
USD_CNY,open,1,0,1,-4714.559778666549,-4695.146582293805,0.013210219664360234,0.0005063174499466285,0.02250149883778031,0.9952129011419762,0.09099220751171154,0.01651299142001535,0.1285028848704003,0.3282496248411483,0.09060843946250427,0.010749594003860543,0.10368024886091151,-3.641780215901706
USD_CNY,high,1,0,1,-4952.150012034808,-4932.736815662064,0.011412609884692039,0.00041248678683909,0.02030977072344959,0.9961058074072247,0.0910570904190967,0.01652136563098315,0.12853546448736689,0.331852173219787,0.09581660619636616,0.011835639068924448,0.10879172334752514,-3.9675630932683417
USD_CNY,low,1,0,1,-4900.26057692245,-4880.847380549706,0.012307967034871255,0.00043267680446417215,0.020800884703881518,0.9959009807794144,0.0920617434841915,0.015774138269139405,0.12559513632756408,0.3449391830609042,0.09106730217204347,0.010850700488055125,0.10416669567599389,-3.728755559672269
USD_EUR,close,1,0,1,-7713.420423376856,-7693.878384696717,0.003488454420326468,2.3848750817251165e-05,0.00488351828267809,0.9826969710569937,0.050113019015293414,0.002881256852304423,0.053677340212648604,-19.379261847515185,0.04021518292273394,0.0018829634129962078,0.04339312633351287,-3.9689792023811554
USD_EUR,open,1,0,1,-7711.273803655447,-7691.731764975309,0.003475788336329017,2.406634539095784e-05,0.0049057461604691535,0.9826065080510468,0.051573029214638376,0.0030242918613609796,0.05499356199921023,-20.387990129238045,0.0364977816648676,0.001586944517392922,0.03983647220064701,-3.3060235994395715
USD_EUR,high,1,0,1,-8044.514735635813,-8024.972696955674,0.0028310281147378782,1.7581202498698023e-05,0.004192994454885198,0.9878144524869996,0.04927274416870367,0.0027589187619192594,0.05252541063065818,-18.267702308808516,0.03899666005521729,0.0017844279832484357,0.04224249025860615,-3.8886974307410904
USD_EUR,low,1,0,1,-8002.871787504318,-7983.329748824179,0.0029277109235128725,1.8148743037774063e-05,0.004260134157250692,0.9862543877440891,0.05361298316578885,0.003257883165173774,0.05707786931178996,-22.727374987766616,0.03766036482183848,0.0016778999157343575,0.040962176647907245,-3.4905251728402016
USD_JPY,close,1,0,1,2582.9751030176967,2602.517141697836,0.6585438940493916,0.951655198296029,0.9755281637636245,0.9952889825643799,7.0341850596925966,66.91798256979062,8.180341225755233,-10.175405740714195,1.654244185507475,3.295245394746463,1.815281078716589,-5.329447161305054
USD_JPY,open,1,0,1,2579.98517252039,2599.527211200529,0.6545818796652075,0.9347499255350752,0.9668246612158149,0.9953886913541644,6.901808979441949,64.6264742007552,8.039059285809204,-9.82844147701602,1.9361733500454368,4.228699814392692,2.056380269889957,-7.884524211231598
USD_JPY,high,1,0,1,2321.9234312088242,2341.4654698889635,0.5511947651578001,0.7627388595831093,0.8733492197186125,0.9962760784627506,6.9783774010636535,65.75103617854793,8.10870126336813,-9.964131768722181,1.7303855911746513,3.511435125684645,1.873882367088352,-6.282903682363314
USD_JPY,low,1,0,1,2508.9890588380867,2528.531097518226,0.5985590052912829,0.7716079215401906,0.8784121592624903,0.9961284645545458,4.060197681916537,23.307907679089062,4.82782639280754,-2.925870419667703,1.460632819867811,2.6703158816339876,1.6341101191884186,-4.933882562096082
