Currency,Type,Best_Model,Val_RMSE,Test_RMSE,Test_R2
USD_CNY,close,"ARIMA(1,0,1)",0.1334398633300066,0.10250692674324735,-3.4062106438724467
USD_CNY,open,"ARIMA(1,0,1)",0.1285028848704003,0.10368024886091151,-3.641780215901706
USD_CNY,high,"ARIMA(1,0,1)",0.12853546448736689,0.10879172334752514,-3.9675630932683417
USD_CNY,low,"ARIMA(1,0,1)",0.12559513632756408,0.10416669567599389,-3.728755559672269
USD_EUR,close,"ARIMA(1,0,1)",0.053677340212648604,0.04339312633351287,-3.9689792023811554
USD_EUR,open,"ARIMA(1,0,1)",0.05499356199921023,0.03983647220064701,-3.3060235994395715
USD_EUR,high,"ARIMA(1,0,1)",0.05252541063065818,0.04224249025860615,-3.8886974307410904
USD_EUR,low,"ARIMA(1,0,1)",0.05707786931178996,0.040962176647907245,-3.4905251728402016
USD_JPY,close,"ARIMA(1,0,1)",8.180341225755233,1.815281078716589,-5.329447161305054
USD_JPY,open,"ARIMA(1,0,1)",8.039059285809204,2.056380269889957,-7.884524211231598
USD_JPY,high,"ARIMA(1,0,1)",8.10870126336813,1.873882367088352,-6.282903682363314
USD_JPY,low,"ARIMA(1,0,1)",4.82782639280754,1.6341101191884186,-4.933882562096082
