p,d,q,aic,bic
5,0,5,-6458.747448154158,-6397.052506685952
5,0,6,-6456.647303038365,-6389.811116447809
5,0,7,-6462.524420735981,-6390.546989023074
5,0,8,-6458.900737066113,-6381.782060230856
5,0,9,-6457.732686233445,-6375.472764275837
5,0,10,-6454.0027201226185,-6366.60155304266
5,1,1,-6459.453144685799,-6423.469973384091
5,1,2,-6457.416022487403,-6416.292398142594
5,1,3,-6465.11070395389,-6418.84662656598
5,1,4,-6468.683688276173,-6417.2791578451615
5,1,5,-6461.752641544075,-6405.207658069962
5,1,6,-6454.541052471335,-6392.855615954121
5,1,7,-6465.191180001846,-6398.365290441531
5,1,8,-6461.718217262506,-6389.75187465909
5,1,9,-6462.93360530402,-6385.826809657502
5,1,10,-6457.201330605156,-6374.954081915537
5,2,1,-6422.243065687498,-6386.265443335743
5,2,2,-6417.096612558764,-6375.979329871045
5,2,3,-6453.766373484422,-6407.509430460737
5,2,4,-6438.079208086132,-6386.682604726483
5,2,5,-6445.987413251325,-6389.451149555711
5,2,6,-6439.471062429375,-6377.795138397796
5,2,7,-6445.196075003885,-6378.380490636341
5,2,8,-6441.544885654765,-6369.589640951256
5,2,9,-6448.509521036834,-6371.41461599736
5,2,10,-6450.625558111644,-6368.390992736205
6,0,1,-6457.189430043617,-6410.918223942463
6,0,2,-6454.066473133495,-6402.65402190999
6,0,3,-6463.096478594669,-6406.542782248814
6,0,4,-6456.026562700407,-6394.3316212322015
6,0,5,-6459.376571139587,-6392.540384549031
6,0,6,-6457.307353153255,-6385.329921440348
6,0,7,-6462.527094566625,-6385.408417731368
6,0,8,-6462.388638529192,-6380.128716571584
6,0,9,-6459.271808575237,-6371.8706414952785
6,0,10,-6455.6159967947015,-6363.073584592393
6,1,1,-6457.453050946345,-6416.3294266015355
6,1,2,-6455.5351521463335,-6409.271074758423
6,1,3,-6467.172864293872,-6415.768333862861
6,1,4,-6463.42435550814,-6406.879372034027
6,1,5,-6460.839413772525,-6399.1539772553115
6,1,6,-6465.549324354999,-6398.723434794684
6,1,7,-6464.887123007244,-6392.920780403828
6,1,8,-6465.388075190377,-6388.2812795438595
6,1,9,-6460.526214650925,-6378.278965961306
6,1,10,-6463.612869548926,-6376.2251678162065
6,2,1,-6379.220158131282,-6338.102875443563
