p,d,q,mse
6,1,10,0.13880836797340768
6,2,1,0.009717789743995842
6,2,2,0.25019534219258854
6,2,3,0.1962624074687416
6,2,4,0.07562738606414675
6,2,5,0.13562273690191418
6,2,6,0.13541393170846275
6,2,7,0.15701273915751673
6,2,8,0.11812008056856733
6,2,9,0.24224241346524958
6,2,10,0.23306344278676747
7,0,1,0.135050528422787
7,0,2,0.11519877557208913
7,0,3,0.09712000037271722
7,0,4,0.0800605951596336
7,0,5,0.0741430806287017
7,0,6,0.07805039525123784
7,0,7,0.05849029848362986
7,0,8,0.1291008870138786
7,0,9,0.07439093516221756
7,0,10,0.0535084031861877
7,1,1,0.1367185103447875
7,1,2,0.1365398625615629
7,1,3,0.13665716936872246
7,1,4,0.14027402562360558
7,1,5,0.13926076384212063
7,1,6,0.13530494089087805
7,1,7,0.13741501605539205
7,1,8,0.1371491575533622
7,1,9,0.1374564534283093
7,1,10,0.13695590791907422
7,2,1,0.18049342230581544
7,2,2,0.1605018224266639
7,2,3,0.09999180790848991
7,2,4,0.2502394835417928
7,2,5,0.11728750050206871
7,2,6,0.13627880682996613
7,2,7,0.1333074003065687
7,2,8,0.13512874180286966
7,2,9,0.14827729616004665
7,2,10,0.15224046935275284
8,0,1,0.07656266787953231
8,0,2,0.0775097334486618
8,0,3,0.08301952042863622
8,0,4,0.08416899076192548
8,0,5,0.08045465485308345
8,0,6,0.11340295650268095
8,0,7,0.07230266191660084
8,0,8,0.1219620033296548
8,0,9,0.06492518674169945
8,0,10,0.06111855940081251
8,1,1,0.1376015320365664
8,1,2,0.13749185483670304
8,1,3,0.137499888261241
8,1,4,0.13915730568807655
8,1,5,0.13853443233052573
8,1,6,0.13637934566540724
8,1,7,0.1372866418178267
8,1,8,0.13432964451104754
8,1,9,0.1356313274860367
8,1,10,0.13527763479218088
8,2,1,0.14960169539106394
8,2,2,0.12284431595215306
8,2,3,0.1669709032902089
8,2,4,0.24771301834052473
8,2,5,0.0769386964581431
8,2,6,0.13358334661785867
8,2,7,0.13894319182852402
8,2,8,0.14446981382602117
8,2,9,0.1537466172498622
8,2,10,0.23149961931013724
9,0,1,0.07465874330140888
9,0,2,0.07616936163352137
9,0,3,0.05227427425578889
9,0,4,0.08918204971958826
9,0,5,0.04127594909558512
9,0,6,0.07779118404003417
9,0,7,0.07324312033628586
9,0,8,0.05529741650858348
9,0,9,0.06798942971501497
9,0,10,0.05981352889942232
9,1,1,0.13650145338503875
9,1,2,0.13531738611296043
9,1,3,0.13641083224891948
9,1,4,0.13946632301345294
9,1,5,0.13907111466714656
9,1,6,0.13331017275558543
9,1,7,0.12840830239784287
9,1,8,0.13596395711329107
9,1,9,0.13480527054929342
9,1,10,0.13420163915273275
9,2,1,0.1188299786557938
9,2,2,0.13845631057391358
9,2,3,0.24391071087377184
9,2,4,0.12028355045810306
9,2,5,0.13252015495892955
9,2,6,0.1203341758249606
9,2,7,0.12664943788949146
9,2,8,0.123706368467222
9,2,9,0.13944901346075625
9,2,10,0.13586800078452685
10,0,1,0.07329680317448516
10,0,2,0.07383807915192313
10,0,3,0.058358010796428196
10,0,4,0.08275231142751335
10,0,5,0.0792345605067059
10,0,6,0.1203714236402608
10,0,7,0.034961011790265145
10,0,8,0.05413606252932
10,0,9,0.05620303562907046
10,0,10,0.059013589758975186
10,1,1,0.13674633396493896
10,1,2,0.13661281267122255
10,1,3,0.1367929356627185
10,1,4,0.14139358137104763
10,1,5,0.13931841709026788
10,1,6,0.13813241669074097
10,1,7,0.13337004182975454
10,1,8,0.13885295806970194
10,1,9,0.13945312203407872
10,1,10,0.13496069571372638
10,2,1,0.09462356710062364
10,2,2,0.07456298310544589
10,2,3,0.20111103252631435
10,2,4,0.19952264185179008
10,2,5,0.04954204366798523
10,2,6,0.22779296066614563
10,2,7,0.24137080032509522
10,2,8,0.23134587438591783
10,2,9,0.14163156598513515
10,2,10,0.13764450071157325
